$LANGUAGE,English
$FOOD,Food
$DRINK,Drink
$TRANSPORT,Transport
$SHOPPING,Shopping
$ENTERTAINMENT,Entertainment
$HOUSING,Housing
$DIGITAL,Digital
$MEDICAL,Medical
$MISC,Misc.
$INCOME,Income
